date;ticker;bid;ask
2010-04-28;CNYRUB_FXForward_90D;4.2413;4.2738
2010-04-29;CNYRUB_FXForward_90D;4.286;4.3221
2010-04-30;CNYRUB_FXForward_90D;4.2731;4.3084
2010-05-01;CNYRUB_FXForward_90D;4.2536;4.2884
2010-05-05;CNYRUB_FXForward_90D;4.2747;4.3094
2010-05-06;CNYRUB_FXForward_90D;4.328;4.3678
2010-05-07;CNYRUB_FXForward_90D;4.4124;4.4639
2010-05-08;CNYRUB_FXForward_90D;4.4722;4.5277
2010-05-12;CNYRUB_FXForward_90D;4.4181;4.4748
2010-05-13;CNYRUB_FXForward_90D;4.3963;4.4516
2010-05-14;CNYRUB_FXForward_90D;4.3447;4.4008
2010-05-15;CNYRUB_FXForward_90D;4.3751;4.431
2010-05-18;CNYRUB_FXForward_90D;4.4634;4.5285
2010-05-19;CNYRUB_FXForward_90D;4.4198;4.4843
2010-05-20;CNYRUB_FXForward_90D;4.4632;4.5283
2010-05-21;CNYRUB_FXForward_90D;4.4725;4.5358
2010-05-22;CNYRUB_FXForward_90D;4.5169;4.581
2010-05-25;CNYRUB_FXForward_90D;4.4909;4.5534
2010-05-26;CNYRUB_FXForward_90D;4.5677;4.636
2010-05-27;CNYRUB_FXForward_90D;4.5565;4.6228
2010-05-28;CNYRUB_FXForward_90D;4.4859;4.554
2010-05-29;CNYRUB_FXForward_90D;4.4301;4.4984
2010-06-01;CNYRUB_FXForward_90D;4.4676;4.5357
2010-06-02;CNYRUB_FXForward_90D;4.515;4.5841
2010-06-03;CNYRUB_FXForward_90D;4.5325;4.6
2010-06-04;CNYRUB_FXForward_90D;4.4909;4.5575
2010-06-05;CNYRUB_FXForward_90D;4.5167;4.5823
2010-06-08;CNYRUB_FXForward_90D;4.6151;4.6905
2010-06-09;CNYRUB_FXForward_90D;4.5919;4.6651
2010-06-10;CNYRUB_FXForward_90D;4.6108;4.6824
2010-06-11;CNYRUB_FXForward_90D;4.5879;4.6575
2010-06-12;CNYRUB_FXForward_90D;4.5696;4.6372
2010-06-16;CNYRUB_FXForward_90D;4.5711;4.6366
2010-06-17;CNYRUB_FXForward_90D;4.5271;4.592
2010-06-18;CNYRUB_FXForward_90D;4.5339;4.5969
2010-06-19;CNYRUB_FXForward_90D;4.4922;4.5547
2010-06-22;CNYRUB_FXForward_90D;4.4875;4.548
2010-06-23;CNYRUB_FXForward_90D;4.5045;4.5637
2010-06-24;CNYRUB_FXForward_90D;4.5185;4.5763
2010-06-25;CNYRUB_FXForward_90D;4.5252;4.5813
2010-06-26;CNYRUB_FXForward_90D;4.5469;4.6021
2010-06-29;CNYRUB_FXForward_90D;4.5345;4.5881
2010-06-30;CNYRUB_FXForward_90D;4.5641;4.6175
2010-07-01;CNYRUB_FXForward_90D;4.5776;4.6298
2010-07-02;CNYRUB_FXForward_90D;4.599;4.6503
2010-07-03;CNYRUB_FXForward_90D;4.5801;4.6302
