date,B1,B2,B3,T1,G1,G2,G3,G4,G5,G6,G7,G8,G9
2016-05-30,819.892565,130.107026,46.025387,1.61292,8.421364,-9.661418,-3.946615,3.187069,1.181817,-1.102499,-1.258718,0.0,0.0
2016-05-31,818.587384,148.148263,30.612825,1.451786,3.993753,-3.187317,-5.735639,0.339877,7.065874,-0.731236,-1.722598,0.0,0.0
2016-06-01,835.721597,138.324257,15.475668,1.373904,3.513887,0.872078,-8.53789,6.00051,5.470466,-2.229261,-2.611901,0.0,0.0
2016-06-02,843.411573,135.321563,5.237956,1.163717,3.314084,-3.968588,-5.534576,9.091105,3.436826,-3.002457,-2.853478,0.0,0.0
2016-06-03,828.634064,164.475929,-2.755009,1.131268,0.549661,-1.982071,-8.141703,7.648783,9.12335,-2.178457,-3.092866,0.0,0.0
2016-06-06,805.937206,178.060347,-6.395271,1.568163,4.720313,-6.734141,-3.920624,5.256852,5.613479,-2.101572,-2.656643,0.0,0.0
2016-06-07,783.728754,184.136109,-3.816825,2.379457,2.992993,1.435295,-4.21232,0.586407,2.594535,-0.728278,-1.037846,0.0,0.0
2016-06-08,788.218807,186.994994,-7.217871,2.013539,1.852604,2.446868,-7.451587,3.64996,0.468262,-1.287703,-1.224834,0.0,0.0
2016-06-09,798.643364,177.537212,-4.157535,1.729389,0.340124,0.816796,-2.380053,0.414972,2.08185,-0.930049,-1.559966,0.0,0.0
2016-06-10,783.800958,176.770148,-1.890939,2.079945,-0.021528,-0.452838,-0.648863,-2.573309,3.197492,-0.445134,-0.530081,0.0,0.0
2016-06-14,797.473693,164.195934,-2.540624,2.000508,-1.027129,0.563987,0.732721,-6.410707,3.424517,1.904779,-0.842302,0.0,0.0
2016-06-15,810.227473,182.046726,-8.441155,1.291415,0.150306,2.920689,-2.023109,1.142751,2.228617,-3.348279,-0.951218,0.0,0.0
2016-06-16,817.903152,170.474834,-12.640559,1.333126,0.043262,0.030465,-2.219179,-0.045266,4.829263,-4.922647,-0.625916,0.0,0.0
2016-06-17,809.19747,200.673332,-15.121298,1.171261,-0.058701,1.036415,-2.797755,-0.342812,6.121721,-3.681494,0.100106,0.0,0.0
2016-06-20,801.196728,202.085693,-24.178501,1.236036,-2.244321,1.275778,-1.937607,-0.916718,1.593607,-1.281383,-0.944611,0.0,0.0
2016-06-21,798.627308,186.11272,-27.736624,1.499742,-0.922801,2.619904,0.732701,0.864413,1.049233,-0.745865,-0.243824,0.0,0.0
2016-06-22,793.520333,188.171434,-35.954396,1.710973,-1.249817,-0.926128,2.196368,0.098197,-1.578113,0.0147,0.66678,0.0,0.0
2016-06-23,803.65992,216.943203,-58.111204,1.061353,0.019284,3.008683,0.34053,0.545136,-1.371711,-1.508943,1.284311,0.0,0.0
2016-06-24,812.133832,212.225405,-79.337765,1.174806,0.125949,1.74427,1.159079,0.626251,-1.576098,-0.83568,0.729999,0.0,0.0
2016-06-27,804.818248,183.315683,-107.478996,1.919265,-1.421022,-0.64559,2.27599,1.056218,-3.051705,-3.327568,1.758689,0.0,0.0
2016-06-28,801.910859,183.798082,-134.285091,2.044698,-0.031236,-0.729522,0.829896,2.119719,-1.993072,-4.350897,-0.939257,0.0,0.0
2016-06-29,808.17481,165.958055,-190.274851,2.909312,-0.017836,-2.341009,1.986459,3.834049,-5.239942,-1.785975,1.43784,0.0,0.0
2016-06-30,802.482459,168.862874,-224.977263,3.250067,-0.011387,0.316262,1.891472,4.653325,-4.919653,-1.862182,0.923198,0.0,0.0
2016-07-01,816.720263,166.418975,-290.334837,3.289492,0.021005,0.022198,-3.261461,4.233826,-0.765169,-4.224744,1.030292,0.0,0.0
2016-07-04,822.793064,154.826172,-297.453657,3.652856,0.36223,1.953302,-3.62514,1.73243,-0.496824,-2.574478,-0.562155,0.0,0.0
2016-07-05,841.01751,139.12596,-307.918336,3.559799,-0.0845,1.349593,-2.805776,-0.590007,3.873602,-1.024156,-1.201466,0.0,0.0
2016-07-06,841.514684,128.083365,-305.637454,4.328964,0.521639,2.356314,-5.469008,0.431873,3.594566,-1.678461,0.091772,0.0,0.0
2016-07-07,837.538171,118.050895,-298.524234,5.428773,0.946677,2.378048,-9.52301,5.091421,2.578102,-2.428583,-0.755002,0.0,0.0
2016-07-08,854.15018,101.729119,-315.871061,5.165991,-0.038663,-3.179906,-2.032123,2.929469,4.708111,-4.462135,1.321273,0.0,0.0
2016-07-11,863.010933,90.410756,-336.823452,5.178903,-0.306839,-0.363599,0.169979,1.238415,1.455652,-4.243844,0.607694,0.0,0.0
2016-07-12,870.551845,89.177762,-360.476007,4.47562,0.112404,0.674832,-0.438742,0.501636,1.918398,-3.348244,-0.369451,0.0,0.0
2016-07-13,878.825441,82.779773,-363.350868,4.525732,0.977772,2.77058,-6.6148,3.042755,1.980429,-1.591035,-0.51959,0.0,0.0
2016-07-14,874.61175,99.532861,-371.194777,3.686489,0.351435,4.832412,-8.307273,1.769149,2.615089,-0.486524,-0.94121,0.0,0.0
2016-07-15,875.791207,100.062972,-362.967283,3.660521,0.053048,3.080182,-8.544018,-0.778974,3.531332,-0.621259,-0.868707,0.0,0.0
2016-07-18,879.257992,96.662058,-346.743209,3.304448,0.784188,3.302492,-5.647873,-1.120939,3.94166,-0.718281,-1.143678,0.0,0.0
2016-07-19,878.05436,88.557941,-332.92308,3.722218,-0.506709,-0.06293,-3.440332,2.152481,2.018378,-0.806541,-0.984585,0.0,0.0
2016-07-20,880.563799,83.335349,-326.719903,3.675712,-0.754171,3.66638,-5.219081,1.271038,2.727967,-0.760333,-1.076934,0.0,0.0
2016-07-21,881.169574,84.074363,-320.359733,3.745827,0.760704,0.815717,-7.274795,3.03706,3.163151,-1.001154,-1.001151,0.0,0.0
2016-07-22,883.471743,82.883396,-308.900125,3.734246,0.939064,1.466046,-7.649952,3.33626,2.842918,-1.023395,-1.265295,0.0,0.0
2016-07-25,881.088698,84.047702,-301.29665,3.531761,-0.484513,1.337488,-2.469045,0.598663,1.801246,-0.405807,-0.566261,0.0,0.0
2016-07-26,886.727907,74.57903,-285.802164,3.715885,0.742623,2.13859,-6.485756,2.813429,-0.70639,-1.383541,-1.469231,0.0,0.0
2016-07-27,879.859126,80.157502,-290.738101,3.860992,1.36901,3.565056,-9.034395,3.510568,-0.284959,-1.223801,-1.336603,0.0,0.0
2016-07-28,876.032683,78.76102,-285.847552,3.578272,1.579441,5.464473,-7.213819,1.726932,-0.723297,-1.355854,-1.389437,0.0,0.0
2016-07-29,863.073228,88.782743,-286.598599,3.533098,1.120275,2.085618,-7.401299,4.19042,1.950053,-1.610388,-1.726536,0.0,0.0
2016-08-01,856.492272,93.103052,-284.802262,3.972932,0.106465,-0.033461,-4.935164,3.986697,2.082459,-1.797481,-1.272786,0.0,0.0
2016-08-02,859.410128,88.116243,-277.966527,4.423926,0.775453,1.717677,-7.640427,2.166497,-0.777714,-0.964623,-1.153606,0.0,0.0
2016-08-03,864.407803,63.169108,-258.584197,5.410329,0.023716,-2.090622,-2.160323,5.419598,-2.103243,-1.835401,0.822376,0.0,0.0
2016-08-04,870.810546,46.263831,-262.939877,5.636393,-0.719131,-3.521562,-0.375661,9.907186,-3.122762,-3.905821,0.234673,0.0,0.0
2016-08-05,866.65428,46.437539,-272.328137,5.932558,-0.579459,-4.057286,-0.841434,10.129396,-4.183266,-4.198509,0.22387,0.0,0.0
2016-08-08,860.137969,55.492251,-291.350076,5.919936,0.03475,-2.089578,-1.492722,7.892624,-2.667153,-3.008468,-0.519196,0.0,0.0
2016-08-09,859.573011,60.798272,-313.886198,5.539145,0.01238,-2.785393,-0.630813,8.093017,-2.213856,-2.8873,0.411323,0.0,0.0
2016-08-10,869.394432,53.447614,-338.511183,5.302427,-1.911866,-2.666234,-1.218409,5.158577,0.827423,-1.524244,-0.032838,0.0,0.0
2016-08-11,874.292389,45.927474,-336.940521,5.759126,-1.395269,-0.391893,0.052336,3.504932,-1.316404,-3.268636,-1.060382,0.0,0.0
2016-08-12,885.386806,39.124376,-340.121161,5.696547,0.202819,-1.072975,-4.314103,6.166071,-0.021054,-3.795666,-0.463072,0.0,0.0
